slot_000001 | prov_001 | Allison Hill | Therapy | 2025-09-01 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000052 | prov_067 | Tracy House | Both | 2025-09-01 10:30-11:20 (America/Phoenix) | Telehealth Only: Yes
slot_000053 | prov_068 | Carol Tucker | Therapy | 2025-09-01 15:30-16:20 (America/Phoenix) | Telehealth Only: Yes
slot_000054 | prov_070 | William Baker | Psychiatry | 2025-09-01 16:00-16:50 (America/Phoenix) | Telehealth Only: Yes
slot_000055 | prov_070 | William Baker | Psychiatry | 2025-09-01 09:30-10:20 (America/Phoenix) | Telehealth Only: Yes
slot_000056 | prov_071 | Jordan Henderson | Psychiatry | 2025-09-01 15:00-15:50 (America/Phoenix) | Telehealth Only: Yes
slot_000057 | prov_071 | Jordan Henderson | Psychiatry | 2025-09-01 09:00-09:50 (America/Phoenix) | Telehealth Only: Yes
slot_000058 | prov_074 | Lauren Daniels | Psychiatry | 2025-09-01 09:00-09:50 (America/Phoenix) | Telehealth Only: Yes
slot_000059 | prov_076 | Sarah Moore | Therapy | 2025-09-01 14:00-14:50 (America/Phoenix) | Telehealth Only: Yes
slot_000060 | prov_080 | Lisa Barnes | Therapy | 2025-09-01 14:00-14:50 (America/Phoenix) | Telehealth Only: Yes
slot_000061 | prov_081 | Kelly Donovan | Psychiatry | 2025-09-01 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000062 | prov_082 | Mike Allen | Psychiatry | 2025-09-01 09:00-09:50 (America/Phoenix) | Telehealth Only: Yes
slot_000063 | prov_083 | Michael Evans | Psychiatry | 2025-09-01 14:00-14:50 (America/Phoenix) | Telehealth Only: Yes
slot_000064 | prov_084 | Paul Jones | Therapy | 2025-09-01 15:30-16:20 (America/Phoenix) | Telehealth Only: Yes
slot_000065 | prov_085 | Zachary Ferrell | Therapy | 2025-09-01 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000066 | prov_085 | Zachary Ferrell | Therapy | 2025-09-01 10:00-10:50 (America/Phoenix) | Telehealth Only: Yes
slot_000067 | prov_086 | Daniel Baker | Therapy | 2025-09-01 13:00-13:50 (America/Phoenix) | Telehealth Only: Yes
slot_000068 | prov_088 | Christopher Bass | Both | 2025-09-01 16:30-17:20 (America/Phoenix) | Telehealth Only: Yes
slot_000069 | prov_091 | Matthew Mcmillan | Therapy | 2025-09-01 11:00-11:50 (America/Phoenix) | Telehealth Only: Yes
slot_000070 | prov_096 | Anna Henderson | Psychiatry | 2025-09-01 10:00-10:50 (America/Phoenix) | Telehealth Only: Yes
slot_000071 | prov_097 | Aaron Wise | Therapy | 2025-09-01 09:30-10:20 (America/Phoenix) | Telehealth Only: Yes
slot_000072 | prov_098 | Deborah Figueroa | Therapy | 2025-09-01 13:00-13:50 (America/Phoenix) | Telehealth Only: Yes
slot_000073 | prov_100 | Stephen Mckee | Psychiatry | 2025-09-01 13:30-14:20 (America/Phoenix) | Telehealth Only: Yes
slot_000074 | prov_001 | Allison Hill | Therapy | 2025-09-02 16:00-16:50 (America/Phoenix) | Telehealth Only: Yes
slot_000075 | prov_002 | Noah Rhodes | Therapy | 2025-09-02 15:00-15:50 (America/Phoenix) | Telehealth Only: Yes
slot_000076 | prov_003 | Angie Henderson | Psychiatry | 2025-09-02 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000077 | prov_003 | Angie Henderson | Psychiatry | 2025-09-02 10:00-10:50 (America/Phoenix) | Telehealth Only: Yes
slot_000078 | prov_005 | Cristian Santos | Psychiatry | 2025-09-02 16:00-16:50 (America/Phoenix) | Telehealth Only: Yes
slot_000079 | prov_006 | Connie Lawrence | Therapy | 2025-09-02 11:00-11:50 (America/Phoenix) | Telehealth Only: Yes
slot_000080 | prov_007 | Abigail Shaffer | Both | 2025-09-02 10:30-11:20 (America/Phoenix) | Telehealth Only: Yes
slot_000081 | prov_007 | Abigail Shaffer | Both | 2025-09-02 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000082 | prov_009 | Gabrielle Davis | Both | 2025-09-02 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000083 | prov_009 | Gabrielle Davis | Both | 2025-09-02 10:30-11:20 (America/Phoenix) | Telehealth Only: Yes
slot_000084 | prov_011 | Monica Herrera | Both | 2025-09-02 10:00-10:50 (America/Phoenix) | Telehealth Only: Yes
slot_000085 | prov_016 | Brian Ramirez | Therapy | 2025-09-02 09:00-09:50 (America/Phoenix) | Telehealth Only: Yes
slot_000086 | prov_019 | Lisa Jackson | Therapy | 2025-09-02 16:30-17:20 (America/Phoenix) | Telehealth Only: Yes
slot_000087 | prov_021 | Margaret Hawkins DDS | Both | 2025-09-02 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000088 | prov_021 | Margaret Hawkins DDS | Both | 2025-09-02 15:30-16:20 (America/Phoenix) | Telehealth Only: Yes
slot_000089 | prov_022 | Patty Perez | Both | 2025-09-02 13:30-14:20 (America/Phoenix) | Telehealth Only: Yes
slot_000090 | prov_023 | Ethan Adams | Both | 2025-09-02 10:30-11:20 (America/Phoenix) | Telehealth Only: Yes
slot_000091 | prov_024 | Tommy Walter | Both | 2025-09-02 10:30-11:20 (America/Phoenix) | Telehealth Only: Yes
slot_000092 | prov_026 | Judy Baker | Psychiatry | 2025-09-02 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000093 | prov_026 | Judy Baker | Psychiatry | 2025-09-02 13:00-13:50 (America/Phoenix) | Telehealth Only: Yes
slot_000094 | prov_028 | Stephanie Ross | Psychiatry | 2025-09-02 11:00-11:50 (America/Phoenix) | Telehealth Only: Yes
slot_000095 | prov_029 | Zachary Hicks | Both | 2025-09-02 13:00-13:50 (America/Phoenix) | Telehealth Only: Yes
slot_000096 | prov_030 | Anthony Rodriguez | Both | 2025-09-02 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000097 | prov_032 | James Ferrell | Therapy | 2025-09-02 16:30-17:20 (America/Phoenix) | Telehealth Only: Yes
slot_000098 | prov_035 | Debra Davidson | Both | 2025-09-02 13:30-14:20 (America/Phoenix) | Telehealth Only: Yes
slot_000099 | prov_036 | Jeffrey Chavez | Therapy | 2025-09-02 13:00-13:50 (America/Phoenix) | Telehealth Only: Yes
slot_000100 | prov_037 | Sherri Baker | Therapy | 2025-09-02 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000101 | prov_039 | Elizabeth Fowler | Both | 2025-09-02 09:00-09:50 (America/Phoenix) | Telehealth Only: Yes
slot_000102 | prov_040 | Brittany Farmer | Psychiatry | 2025-09-02 16:30-17:20 (America/Phoenix) | Telehealth Only: Yes
slot_000103 | prov_040 | Brittany Farmer | Psychiatry | 2025-09-02 11:00-11:50 (America/Phoenix) | Telehealth Only: Yes
slot_000104 | prov_042 | Fred Smith | Therapy | 2025-09-02 15:30-16:20 (America/Phoenix) | Telehealth Only: Yes
slot_000105 | prov_044 | Anthony Humphrey | Psychiatry | 2025-09-02 09:00-09:50 (America/Phoenix) | Telehealth Only: Yes
slot_000106 | prov_045 | Angelica Tucker | Psychiatry | 2025-09-02 09:30-10:20 (America/Phoenix) | Telehealth Only: Yes
slot_000107 | prov_046 | Philip Cannon | Psychiatry | 2025-09-02 11:00-11:50 (America/Phoenix) | Telehealth Only: Yes
slot_000108 | prov_046 | Philip Cannon | Psychiatry | 2025-09-02 10:00-10:50 (America/Phoenix) | Telehealth Only: Yes
slot_000109 | prov_047 | John Pierce | Both | 2025-09-02 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000110 | prov_049 | Joshua Blair | Both | 2025-09-02 13:00-13:50 (America/Phoenix) | Telehealth Only: Yes
slot_000111 | prov_049 | Joshua Blair | Both | 2025-09-02 09:00-09:50 (America/Phoenix) | Telehealth Only: Yes
slot_000112 | prov_050 | Eric Carney | Therapy | 2025-09-02 16:30-17:20 (America/Phoenix) | Telehealth Only: Yes
slot_000113 | prov_051 | Jessica Holmes | Therapy | 2025-09-02 14:00-14:50 (America/Phoenix) | Telehealth Only: Yes
slot_000114 | prov_052 | Danny Morgan | Therapy | 2025-09-02 11:00-11:50 (America/Phoenix) | Telehealth Only: Yes
slot_000115 | prov_052 | Danny Morgan | Therapy | 2025-09-02 13:30-14:20 (America/Phoenix) | Telehealth Only: Yes
slot_000116 | prov_053 | Crystal Robinson | Both | 2025-09-02 16:30-17:20 (America/Phoenix) | Telehealth Only: Yes
slot_000117 | prov_053 | Crystal Robinson | Both | 2025-09-02 15:30-16:20 (America/Phoenix) | Telehealth Only: Yes
slot_000118 | prov_054 | Mark Perez | Psychiatry | 2025-09-02 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000119 | prov_057 | Timothy Duncan | Psychiatry | 2025-09-02 16:00-16:50 (America/Phoenix) | Telehealth Only: Yes
slot_000120 | prov_057 | Timothy Duncan | Psychiatry | 2025-09-02 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000121 | prov_058 | Richard Aguirre | Psychiatry | 2025-09-02 16:00-16:50 (America/Phoenix) | Telehealth Only: Yes
slot_000122 | prov_058 | Richard Aguirre | Psychiatry | 2025-09-02 15:00-15:50 (America/Phoenix) | Telehealth Only: Yes
slot_000123 | prov_059 | Brent Jordan | Therapy | 2025-09-02 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000124 | prov_060 | John Daniel | Therapy | 2025-09-02 10:00-10:50 (America/Phoenix) | Telehealth Only: Yes
slot_000125 | prov_060 | John Daniel | Therapy | 2025-09-02 14:00-14:50 (America/Phoenix) | Telehealth Only: Yes
slot_000126 | prov_061 | Victoria Garcia | Therapy | 2025-09-02 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000127 | prov_062 | Gerald Hensley | Psychiatry | 2025-09-02 10:30-11:20 (America/Phoenix) | Telehealth Only: Yes
slot_000128 | prov_062 | Gerald Hensley | Psychiatry | 2025-09-02 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000129 | prov_065 | Jessica Callahan | Both | 2025-09-02 14:00-14:50 (America/Phoenix) | Telehealth Only: Yes
slot_000130 | prov_066 | Amber Kidd | Psychiatry | 2025-09-02 13:30-14:20 (America/Phoenix) | Telehealth Only: Yes
slot_000131 | prov_066 | Amber Kidd | Psychiatry | 2025-09-02 11:00-11:50 (America/Phoenix) | Telehealth Only: Yes
slot_000132 | prov_067 | Tracy House | Both | 2025-09-02 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000133 | prov_067 | Tracy House | Both | 2025-09-02 15:30-16:20 (America/Phoenix) | Telehealth Only: Yes
slot_000134 | prov_069 | James Brown | Psychiatry | 2025-09-02 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000135 | prov_070 | William Baker | Psychiatry | 2025-09-02 16:30-17:20 (America/Phoenix) | Telehealth Only: Yes
slot_000136 | prov_073 | Brittney Phillips | Psychiatry | 2025-09-02 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000137 | prov_074 | Lauren Daniels | Psychiatry | 2025-09-02 15:30-16:20 (America/Phoenix) | Telehealth Only: Yes
slot_000138 | prov_074 | Lauren Daniels | Psychiatry | 2025-09-02 13:30-14:20 (America/Phoenix) | Telehealth Only: Yes
slot_000139 | prov_077 | Angela Lopez | Psychiatry | 2025-09-02 15:00-15:50 (America/Phoenix) | Telehealth Only: Yes
slot_000140 | prov_078 | Megan Young | Therapy | 2025-09-02 15:30-16:20 (America/Phoenix) | Telehealth Only: Yes
slot_000141 | prov_080 | Lisa Barnes | Therapy | 2025-09-02 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000142 | prov_080 | Lisa Barnes | Therapy | 2025-09-02 10:00-10:50 (America/Phoenix) | Telehealth Only: Yes
slot_000143 | prov_082 | Mike Allen | Psychiatry | 2025-09-02 09:00-09:50 (America/Phoenix) | Telehealth Only: Yes
slot_000144 | prov_084 | Paul Jones | Therapy | 2025-09-02 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000145 | prov_085 | Zachary Ferrell | Therapy | 2025-09-02 09:00-09:50 (America/Phoenix) | Telehealth Only: Yes
slot_000146 | prov_086 | Daniel Baker | Therapy | 2025-09-02 13:00-13:50 (America/Phoenix) | Telehealth Only: Yes
slot_000147 | prov_088 | Christopher Bass | Both | 2025-09-02 15:00-15:50 (America/Phoenix) | Telehealth Only: Yes
slot_000148 | prov_090 | Aimee Montoya | Therapy | 2025-09-02 10:00-10:50 (America/Phoenix) | Telehealth Only: Yes
slot_000149 | prov_091 | Matthew Mcmillan | Therapy | 2025-09-02 09:30-10:20 (America/Phoenix) | Telehealth Only: Yes
slot_000150 | prov_093 | Denise Jacobs | Psychiatry | 2025-09-02 16:30-17:20 (America/Phoenix) | Telehealth Only: Yes
slot_000151 | prov_093 | Denise Jacobs | Psychiatry | 2025-09-02 09:00-09:50 (America/Phoenix) | Telehealth Only: Yes
slot_000152 | prov_094 | Christina Walters | Psychiatry | 2025-09-02 09:30-10:20 (America/Phoenix) | Telehealth Only: Yes
slot_000153 | prov_094 | Christina Walters | Psychiatry | 2025-09-02 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000154 | prov_096 | Anna Henderson | Psychiatry | 2025-09-02 10:30-11:20 (America/Phoenix) | Telehealth Only: Yes
slot_000155 | prov_097 | Aaron Wise | Therapy | 2025-09-02 11:00-11:50 (America/Phoenix) | Telehealth Only: Yes
slot_000156 | prov_001 | Allison Hill | Therapy | 2025-09-03 16:30-17:20 (America/Phoenix) | Telehealth Only: Yes
slot_000157 | prov_002 | Noah Rhodes | Therapy | 2025-09-03 10:30-11:20 (America/Phoenix) | Telehealth Only: Yes
slot_000158 | prov_004 | Daniel Wagner | Both | 2025-09-03 13:00-13:50 (America/Phoenix) | Telehealth Only: Yes
slot_000159 | prov_005 | Cristian Santos | Psychiatry | 2025-09-03 13:30-14:20 (America/Phoenix) | Telehealth Only: Yes
slot_000160 | prov_007 | Abigail Shaffer | Both | 2025-09-03 10:30-11:20 (America/Phoenix) | Telehealth Only: Yes
slot_000161 | prov_010 | Ryan Munoz | Both | 2025-09-03 14:00-14:50 (America/Phoenix) | Telehealth Only: Yes
slot_000162 | prov_010 | Ryan Munoz | Both | 2025-09-03 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000163 | prov_012 | Jamie Arnold | Psychiatry | 2025-09-03 13:30-14:20 (America/Phoenix) | Telehealth Only: Yes
slot_000164 | prov_013 | Lisa Hensley | Both | 2025-09-03 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000165 | prov_013 | Lisa Hensley | Both | 2025-09-03 15:00-15:50 (America/Phoenix) | Telehealth Only: Yes
slot_000166 | prov_016 | Brian Ramirez | Therapy | 2025-09-03 10:00-10:50 (America/Phoenix) | Telehealth Only: Yes
slot_000167 | prov_017 | Holly Wood | Psychiatry | 2025-09-03 15:30-16:20 (America/Phoenix) | Telehealth Only: Yes
slot_000168 | prov_018 | Derek Zuniga | Therapy | 2025-09-03 13:00-13:50 (America/Phoenix) | Telehealth Only: Yes
slot_000169 | prov_018 | Derek Zuniga | Therapy | 2025-09-03 16:00-16:50 (America/Phoenix) | Telehealth Only: Yes
slot_000170 | prov_020 | Carla Gray | Both | 2025-09-03 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000171 | prov_021 | Margaret Hawkins DDS | Both | 2025-09-03 09:00-09:50 (America/Phoenix) | Telehealth Only: Yes
slot_000172 | prov_022 | Patty Perez | Both | 2025-09-03 14:00-14:50 (America/Phoenix) | Telehealth Only: Yes
slot_000173 | prov_023 | Ethan Adams | Both | 2025-09-03 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000174 | prov_024 | Tommy Walter | Both | 2025-09-03 15:30-16:20 (America/Phoenix) | Telehealth Only: Yes
slot_000175 | prov_025 | Matthew Foster | Therapy | 2025-09-03 13:00-13:50 (America/Phoenix) | Telehealth Only: Yes
slot_000176 | prov_026 | Judy Baker | Psychiatry | 2025-09-03 13:00-13:50 (America/Phoenix) | Telehealth Only: Yes
slot_000177 | prov_027 | Justin Baker | Psychiatry | 2025-09-03 16:30-17:20 (America/Phoenix) | Telehealth Only: Yes
slot_000178 | prov_027 | Justin Baker | Psychiatry | 2025-09-03 15:00-15:50 (America/Phoenix) | Telehealth Only: Yes
slot_000179 | prov_028 | Stephanie Ross | Psychiatry | 2025-09-03 15:00-15:50 (America/Phoenix) | Telehealth Only: Yes
slot_000180 | prov_029 | Zachary Hicks | Both | 2025-09-03 13:30-14:20 (America/Phoenix) | Telehealth Only: Yes
slot_000181 | prov_031 | Rebecca Henderson | Therapy | 2025-09-03 09:30-10:20 (America/Phoenix) | Telehealth Only: Yes
slot_000182 | prov_032 | James Ferrell | Therapy | 2025-09-03 10:00-10:50 (America/Phoenix) | Telehealth Only: Yes
slot_000183 | prov_036 | Jeffrey Chavez | Therapy | 2025-09-03 13:30-14:20 (America/Phoenix) | Telehealth Only: Yes
slot_000184 | prov_037 | Sherri Baker | Therapy | 2025-09-03 15:00-15:50 (America/Phoenix) | Telehealth Only: Yes
slot_000185 | prov_039 | Elizabeth Fowler | Both | 2025-09-03 13:00-13:50 (America/Phoenix) | Telehealth Only: Yes
slot_000186 | prov_039 | Elizabeth Fowler | Both | 2025-09-03 15:00-15:50 (America/Phoenix) | Telehealth Only: Yes
slot_000187 | prov_043 | Sherry Decker | Psychiatry | 2025-09-03 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000188 | prov_044 | Anthony Humphrey | Psychiatry | 2025-09-03 10:30-11:20 (America/Phoenix) | Telehealth Only: Yes
slot_000189 | prov_045 | Angelica Tucker | Psychiatry | 2025-09-03 10:00-10:50 (America/Phoenix) | Telehealth Only: Yes
slot_000190 | prov_046 | Philip Cannon | Psychiatry | 2025-09-03 13:00-13:50 (America/Phoenix) | Telehealth Only: Yes
slot_000191 | prov_046 | Philip Cannon | Psychiatry | 2025-09-03 10:00-10:50 (America/Phoenix) | Telehealth Only: Yes
slot_000192 | prov_047 | John Pierce | Both | 2025-09-03 09:30-10:20 (America/Phoenix) | Telehealth Only: Yes
slot_000193 | prov_047 | John Pierce | Both | 2025-09-03 14:00-14:50 (America/Phoenix) | Telehealth Only: Yes
slot_000194 | prov_048 | Shane Henderson | Psychiatry | 2025-09-03 13:30-14:20 (America/Phoenix) | Telehealth Only: Yes
slot_000195 | prov_049 | Joshua Blair | Both | 2025-09-03 16:00-16:50 (America/Phoenix) | Telehealth Only: Yes
slot_000196 | prov_050 | Eric Carney | Therapy | 2025-09-03 10:30-11:20 (America/Phoenix) | Telehealth Only: Yes
slot_000197 | prov_051 | Jessica Holmes | Therapy | 2025-09-03 16:30-17:20 (America/Phoenix) | Telehealth Only: Yes
slot_000198 | prov_051 | Jessica Holmes | Therapy | 2025-09-03 10:30-11:20 (America/Phoenix) | Telehealth Only: Yes
slot_000199 | prov_054 | Mark Perez | Psychiatry | 2025-09-03 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000200 | prov_055 | Shannon Jones | Therapy | 2025-09-03 15:00-15:50 (America/Phoenix) | Telehealth Only: Yes
slot_000201 | prov_057 | Timothy Duncan | Psychiatry | 2025-09-03 11:30-12:20 (America/Phoenix) | Telehealth Only: Yes
slot_000202 | prov_059 | Brent Jordan | Therapy | 2025-09-03 13:00-13:50 (America/Phoenix) | Telehealth Only: Yes
slot_000203 | prov_060 | John Daniel | Therapy | 2025-09-03 16:30-17:20 (America/Phoenix) | Telehealth Only: Yes
slot_000204 | prov_061 | Victoria Garcia | Therapy | 2025-09-03 11:00-11:50 (America/Phoenix) | Telehealth Only: Yes
slot_000205 | prov_064 | Donald Wright | Both | 2025-09-03 14:00-14:50 (America/Phoenix) | Telehealth Only: Yes
slot_000206 | prov_065 | Jessica Callahan | Both | 2025-09-03 10:30-11:20 (America/Phoenix) | Telehealth Only: Yes
slot_000207 | prov_069 | James Brown | Psychiatry | 2025-09-03 16:00-16:50 (America/Phoenix) | Telehealth Only: Yes
slot_000208 | prov_069 | James Brown | Psychiatry | 2025-09-03 09:30-10:20 (America/Phoenix) | Telehealth Only: Yes
slot_000209 | prov_070 | William Baker | Psychiatry | 2025-09-03 14:00-14:50 (America/Phoenix) | Telehealth Only: Yes
slot_000210 | prov_070 | William Baker | Psychiatry | 2025-09-03 16:00-16:50 (America/Phoenix) | Telehealth Only: Yes
slot_000211 | prov_071 | Jordan Henderson | Psychiatry | 2025-09-03 15:00-15:50 (America/Phoenix) | Telehealth Only: Yes
slot_000212 | prov_071 | Jordan Henderson | Psychiatry | 2025-09-03 13:00-13:50 (America/Phoenix) | Telehealth Only: Yes
slot_000213 | prov_073 | Brittney Phillips | Psychiatry | 2025-09-03 10:00-10:50 (America/Phoenix) | Telehealth Only: Yes
slot_000214 | prov_075 | Amy Silva | Both | 2025-09-03 10:00-10:50 (America/Phoenix) | Telehealth Only: Yes
slot_000215 | prov_076 | Sarah Moore | Therapy | 2025-09-03 14:30-15:20 (America/Phoenix) | Telehealth Only: Yes
slot_000216 | prov_078 | Megan Young | Therapy | 2025-09-03 15:30-16:20 (America/Phoenix) | Telehealth Only: Yes
